ACOUST_ANA_DESCR,DESCRIPTION,COMMENTS,frequency,ArticleID,StudyID,Title,Authors,Year_publication,Article,SAMPLE_SIZE_SZ,SAMPLE_SIZE_HC,PITCH_F0_HC_M,PITCH_F0_HC_SD,PITCH_F0_SZ_M,PITCH_F0_SZ_SD,PITCH_F0SD_HC_M,PITCH_F0SD_HC_SD,PITCH_F0SD_SZ_M,PITCH_F0SD_SZ_SD,pitch_f0_variability
"After the recording session, each word was segmented using Praat software. First, voice
stimuli were normalised according to peak amplitude by means of a Praat script. Audacity
software was used for noise reduction. Then, stimuli were cut at the beginning and at the
end of each word, using Praat software. Mean pitch, intensity and duration were subsequently
calculated for each condition (","F0_min, F0_max, Intensity_M, Words Dur(ms)",For pitch it is also reported the minimum and mazinum F0. We can use them?,hz,1,1,Emotional self-other voice processing in schizophrenia and its relationship with hallucinations: ERP evidence.,"Pinheiro AP, Rezaii N, Rauber A, Nestor PG, Spencer KM, Niznikiewicz M.",2016,Pinheiro et al. (2016),17,18,137.24666666666667,29.983333333333334,148.04333333333332,23.896666666666665,NA,NA,NA,NA,NA
"These
parameters include prosodic features (formant 1 to 6 [F1
to F6, unit: Hz], formant bandwidth [unit: Hz], formant
amplitude [unit: dB]), and two spectral features (the
linear prediction coding [LPC], and the Mel-frequency
cepstral coefficient [MFCC]). T","F1,F2,F3,F4,F4,F6 (MEAN?)formant banwidth, formant amplitude, linear prediction coding (LPC) and Mel.frequency cepstral coefficient (MFCC)","They report 6 formants (f1 to f6), plus the bandwidth and the amplitude, plus two cepstral measures. What do i report?",NA,2,2,Clinical investigation of speech signal features among patients with schizophrenia,"Zhang J, Pan Z, Gui C, Zhu J, Cui D.",2016,Zhang et al. (2016),26,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A linguist used WaveSurfer 1.8.8 to extract the phonetic linguistic parameters of pitch (F0) and vowel resonances (F1, F2) from the audio recordings. Pitch is only present when the vocal folds are vibrating, as they are for the articulation of vowels (as well as some consonants). The important resonances for vowels (F1 and F2) correspond to the shape of various parts of the vocal tract during their articulation (jaw lowering/tongue height, F1; tongue front/back position and/or lip rounding, F2). The pitch (F0) readings were taken every 10 ms, and for those cases where pitch (and therefore voicing) was present, the following were calculated: (1) stan-dard deviation (SD) of log10 F0 (hereafter simply referred to as SD F0, computed logarithmically because there are large variations in habitual F0 between speakers but pitch is perceived logarithmically), (2) SD of F1, and (3) SD of F2. Main analyses used an average value for each of these SDs from the three speech activities (with post-hoc subanalyses examining any meaningful differences in correlations when examining the individual types of recordings).

To derive a computational measure of how often the speaker pauses, we also computed a “fraction voiced” (FV) variable, ranging from 0 to 1. Participants who speak fluently will have much higher values and those who say less (i.e., with many pauses) will have much smaller values. Although this only counts voiced speech sounds (such as vowels, voiced consonants such as l, m, n, and r, not voiceless consonants such as p, t, k, f, or s), it is a reasonable comparison of the amount of speech between subjects.
","SD of log F0, SD F1, SD F2, Fraction voiced (FV) as index of pauses",NA,hz,3,3,"Associations of acoustically measured tongue jaw movements and
portion of time speaking with negative symptom severity in patients
with schizophrenia in Italy and the United States","Bernardini F, Lunden A, Covington M, Broussard B, Halpern B, Alolayan Y, Crisafio A, Pauselli L, Balducci PM, Capulong L, Attademo L, Lucarini E, Salierno G, Natalicchi L, Quartesan R, Compton MT",2016,Bernardini et al. (2016)_1,20,NA,NA,NA,136.4408607361988,31.93596355683771,NA,NA,0.0875,0.0394,Log10  Hz
"A linguist used WaveSurfer 1.8.8 to extract the phonetic linguistic parameters of pitch (F0) and vowel resonances (F1, F2) from the audio recordings. Pitch is only present when the vocal folds are vibrating, as they are for the articulation of vowels (as well as some consonants). The important resonances for vowels (F1 and F2) correspond to the shape of various parts of the vocal tract during their articulation (jaw lowering/tongue height, F1; tongue front/back position and/or lip rounding, F2). The pitch (F0) readings were taken every 10 ms, and for those cases where pitch (and therefore voicing) was present, the following were calculated: (1) stan-dard deviation (SD) of log10 F0 (hereafter simply referred to as SD F0, computed logarithmically because there are large variations in habitual F0 between speakers but pitch is perceived logarithmically), (2) SD of F1, and (3) SD of F2. Main analyses used an average value for each of these SDs from the three speech activities (with post-hoc subanalyses examining any meaningful differences in correlations when examining the individual types of recordings).

To derive a computational measure of how often the speaker pauses, we also computed a “fraction voiced” (FV) variable, ranging from 0 to 1. Participants who speak fluently will have much higher values and those who say less (i.e., with many pauses) will have much smaller values. Although this only counts voiced speech sounds (such as vowels, voiced consonants such as l, m, n, and r, not voiceless consonants such as p, t, k, f, or s), it is a reasonable comparison of the amount of speech between subjects.
","SD of log F0, SD F1, SD F2, Fraction voiced (FV) as index of pauses",NA,hz,3,4,"Associations of acoustically measured tongue jaw movements and
portion of time speaking with negative symptom severity in patients
with schizophrenia in Italy and the United States","Bernardini F, Lunden A, Covington M, Broussard B, Halpern B, Alolayan Y, Crisafio A, Pauselli L, Balducci PM, Capulong L, Attademo L, Lucarini E, Salierno G, Natalicchi L, Quartesan R, Compton MT",2016,Bernardini et al. (2016)_2,20,NA,NA,NA,118.93437091899855,30.24209235446983,NA,NA,0.0834,0.0242,Log10  Hz
"The estimation
of the prosodic speech profile was performed analyzing
the variations in the height trajectory and pitch
perception (prosodic peaks and valleys) of the F0 of the vocalic syllable nuclei that contain voice signals, on a
peak intensity delimited -3dB and -9dB to left and right,
respectively, in order to represent the melodic movements
perceived by the human ear. The value of the
left limit (–3dB) eliminates most of the microprosodic
disturbances and stylizes the beginning of the syllable,
while the right (–9dB) limit preserves the variations in
tone of accented vowels","Intensity(db), pause rate>300ms, mean F0, f0 sd, f0 range, syllabic dynamics, prosodic peaks, prosodic valleys, intra-syllabic trajectory, inter-syllabic trajectory, phonation tarjectory","They report also f0 range (ST), prosodics peaks and valleys, inta syllabic and phonation trajectory. What we report?",hz,4,5,Can the Acoustic Analysis of Expressive Prosody Discriminate Schizophrenia?,"Martínez-Sánchez F, Muela-Martínez JA, Cortés-Soto P, García Meilán JJ, Vera Ferrándiz JA, Egea Caparrós A, Pujante Valverde IM.",2015,Martínez-Sánchez et al. (2015),45,35,156.57,43.89,143.02,40.33,29.67,8.32,27.5,10.36,hz
"During each of these frames,
frequency and volume were quantified. Four particular indices of
speech characteristics of interest were chosen for analysis: a) mean
number of utterances of greater than 150 milliseconds (an index of
speech production); b) number of pauses (>10 milliseconds); c)
intonation—defined as the variability in the pitch of speech, calculated
as the mean of standard deviations of the fundamental frequency computed
separately from each utterance (i.e., lower values represent more
monotone speech); and d) variability in volume of speech, calculated as
the mean of standard deviations of the volume computed separately
from each utterance (i.e., lower values represent more monotone
speech). The first two variables were chosen to represent the production
of speech (tapping into the negative symptom construct of “alogia”),
whereas the second two variableswere chosen to represent two different
aspects of blunted or monotone speech (variability of fundamental frequency
and volume).","Mean n. utterance > 150 ms, pauses > 10ms, SD F0 computed separately for each utterance, SD of volume variation for each utterance",NA,NA,5,6,Speech prosody abnormalities and specific dimensional schizotypy features are relationships limited to male participants,"Bedwell, Jeffrey S., et al",2014,Bedwell et al. (2014),8,36,NA,NA,NA,NA,0.0348,0.016,0.0382,0.015,"not specified, maybe hz?"
"Our acoustic analysis separates pitch (associated with
the fundamental frequency of voice) from voice level
(associated with voice amplitude) and we will examine
each separately as correlates of the SANS Vocal Inflection
item, Lack of Vocal Inflection. We report the variance
of F0, called Frequency Variance and the variance
of voice level, called Amplitude Variance across syllables.
We detect the sound pulses frequently associated
with vowel production, usually syllables, and measure
F0 at the point of maximal loudness of each syllable. To
compensate for differences in the mean F0 of different
speakers, we record these measures in semitones related
to the speaker’s mean F0. In this way a speaker with a
mean F0 at 100 hertz and variance of 1 semitone can be
directly compared with a speaker whose mean F0 is 200
hertz, with a similar range. In a bell-shaped distribution,
the variance is not correlated with the mean. Similarly,
we measure emphasis in decibels (dB) in reference to a
calibration level. With several hundred syllables in a 15-
min speech sample, the variances of F0 and voice level
are stable measures.                                                        We calculate the percent of the patient’s floor time that
is used for talking, called Percent Time Talking, as a
correlate of the SANS Poverty of Speech item. The
numerator is the sum of the time that the patient’s
speech signal is above the silence threshold. The
denominator includes the sum of speaking time plus the
patient’s response latency as well as the sum of time
spent pausing.                                                                    Finally, there is a SANS item to rate patients for
Increased Latency of Response. As a correlate of this
item we measure the time from the end of the interviewer’s
question or comment to the beginning of the
patient’s response, called Subject Response Latency.
Sometimes interviewers make encouraging sounds to
keep the patient talking. We separate responses that
follow brief comments or ‘uhms’ and ‘ahs’, and report
only response latencies that follow at least one second
of interviewer speech. Latencies tend to produce asymmetrical
distributions and we transform (square root)
measures of time before averaging them","sd F0 in semitones?, variance of voice level or amplitude (db) across syllables?.",NO CG,NA,6,7,A comparison of clinical ratings with vocal acoustic measures of flat affect and alogia.,"Alpert, M., Shaw, R. J., Pouget, E. R., & Lim, K. O.",2002,Alpert et al. (2002),30,NA,NA,NA,NA,NA,NA,NA,0.5,0.28,Frequency variance in semitones
"1. Number of Pauses
2. Mean Pause Duration
3. Proportion of Silence
4. Mean Utterance Duration
5. Total Recording Time
6. Total Length of Pauses
7. Total Length of Utterances
8. Relative Variation in Energy
9. Relative Variation in Vocal Pitch  10. Mean Vocal pithc (not reported)","1. Number of Pauses
2. Mean Pause Duration
3. Proportion of Silence
4. Mean Utterance Duration
5. Total Recording Time
6. Total Length of Pauses
7. Total Length of Utterances
8. Relative Variation in Energy
9. Relative Variation in Vocal Pitch  10. Mean Vocal pithc (not reported)","Several mesures of speech and pause production, and energy measures not clear",NA,7,8,Acoustic and temporal analysis of speech: A potential biomarker for schizophrenia.,"Rapcan, V., D’Arcy, S., Yeap, S., Afzal, N., Thakore, J., & Reilly, R. B.",2010,Rapcan et al. (2010),39,18,NA,NA,NA,NA,0.24,0.08,0.22,0.05,Relative variaton in local pitch - coefficient variation ok
"1) Pause proportion: Percentage of time the sample contained
a pitch above baseline from time of first
utterance to final utterance 2)Duration: Time from beginning to end of a defined
speech sample
Beginning and end were determined by
detecting a change in pitch 3) Attack: Rise in amplitude (loudness) over time
for a given phoneme 4) Pitch variability: Standard deviation in Hertz of the pitch
maximum and minimum across an
utterance, same as the standard deviation
of the fundamental frequency
Beginning defined as change in slope
from baseline
Occasionally slope changed direction.
To ensure reproducibility, end defined
by maximum amplitude 4)","1)SD of min and max pitch F0 across an utterance 2) rise in amplitude of a phonem in in a given time 3) duration of speech sample, determined by change in pitcj 4) pause proprtion ?","Several condition, difficult to figure out how they reported the results. Check with Riccardo.",NA,8,9,Prosodic abnormalities in schizotypal personality disorder.,"Dickey, C. C., Vu, M. A. T., Voglmaier, M. M., Niznikiewicz, M. A., McCarley, R. W., & Panych, L. P.",2012,Dickey et al. (2012)_1,28,27,NA,NA,NA,NA,79.72826086956522,43.18478260869565,62.72826086956522,44.56956521739131,sd in hz of the pitch maximum and minimum
"1) Pause proportion: Percentage of time the sample contained
a pitch above baseline from time of first
utterance to final utterance 2)Duration: Time from beginning to end of a defined
speech sample
Beginning and end were determined by
detecting a change in pitch 3) Attack: Rise in amplitude (loudness) over time
for a given phoneme 4) Pitch variability: Standard deviation in Hertz of the pitch
maximum and minimum across an
utterance, same as the standard deviation
of the fundamental frequency
Beginning defined as change in slope
from baseline
Occasionally slope changed direction.
To ensure reproducibility, end defined
by maximum amplitude 4)","1)SD of min and max pitch F0 across an utterance 2) rise in amplitude of a phonem in in a given time 3) duration of speech sample, determined by change in pitcj 4) pause proprtion ?","Several condition, difficult to figure out how they reported the results. Check with Riccardo.",NA,8,9,Prosodic abnormalities in schizotypal personality disorder.,"Dickey, C. C., Vu, M. A. T., Voglmaier, M. M., Niznikiewicz, M. A., McCarley, R. W., & Panych, L. P.",2012,Dickey et al. (2012)_2,28,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
